time_stamp,mem,vms,secs_since_vm_created,secs_since_vm_deleted,swap,loadavg
2026-09-01 16:35:23,16.75,0,9999.0,9999.0,0.0,2.4
2026-09-01 16:35:54,17.05,0,9999.0,9999.0,0.0,2.1
2026-09-01 16:36:25,16.55,0,9999.0,9999.0,0.0,2.08
2026-09-01 16:36:56,15.7,1,14.8,9999.0,0.0,2.93
2026-09-01 16:37:27,17.7,1,45.8,9999.0,0.0,3.42
2026-09-01 16:37:58,24.25,2,1.4,9999.0,0.0,3.51
2026-09-01 16:38:29,28.65,2,32.4,9999.0,0.0,4.5
2026-09-01 16:39:00,32.95,2,63.4,9999.0,0.0,5.47
2026-09-01 16:39:31,33.95,3,19.7,9999.0,0.0,5.69
2026-09-01 16:40:02,39.7,3,50.8,9999.0,0.0,6.29
2026-09-01 16:40:33,37.25,4,6.7,9999.0,0.0,6.42
2026-09-01 16:41:05,38.2,4,38.6,9999.0,0.0,7.34
2026-09-01 16:41:36,38.0,4,69.6,9999.0,0.0,7.38
2026-09-01 16:42:07,51.85,5,25.6,9999.0,0.0,7.84
2026-09-01 16:42:38,50.35,5,56.5,9999.0,0.0,8.23
2026-09-01 16:43:09,47.1,6,11.6,9999.0,0.0,8.83
2026-09-01 16:43:40,55.4,6,42.5,9999.0,0.0,9.33
2026-09-01 16:44:11,58.95,6,73.7,9999.0,0.0,9.54
2026-09-01 16:44:43,55.65,7,29.9,9999.0,0.0,10.76
2026-09-01 16:45:14,59.25,7,61.1,9999.0,0.0,10.65
2026-09-01 16:45:45,69.25,8,14.1,9999.0,0.0,11.62
2026-09-01 16:46:16,64.15,8,45.3,9999.0,0.0,12.35
2026-09-01 16:46:47,64.7,9,76.4,9999.0,0.0,12.47
2026-09-01 16:47:18,70.3,9,29.4,9999.0,0.0,13.21
2026-09-01 16:47:49,70.1,9,60.4,9999.0,0.0,13.78
2026-09-01 16:48:20,77.05,9,91.4,9999.0,0.0,13.76
2026-09-01 16:48:51,72.15,9,122.5,9999.0,0.0,13.57
2026-09-01 16:49:22,73.75,9,153.4,9999.0,0.0,13.09
2026-09-01 16:49:53,79.9,9,184.5,9999.0,0.0,10.65
2026-09-01 16:50:24,71.35,9,215.4,9999.0,0.0,9.72
2026-09-01 16:50:55,71.5,9,246.4,9999.0,0.0,9.69
2026-09-01 16:51:27,79.65,9,277.7,9999.0,0.0,9.89
2026-09-01 16:51:58,78.75,9,309.2,9999.0,0.0,9.99
2026-09-01 16:52:29,75.35,9,340.2,9999.0,0.0,9.66
2026-09-01 16:53:00,75.35,9,371.1,9999.0,0.0,9.4
2026-09-01 16:53:31,71.65,9,402.3,9999.0,0.0,9.48
2026-09-01 16:54:02,71.4,9,433.3,9999.0,0.0,9.87
2026-09-01 16:54:33,77.2,9,464.2,9999.0,0.0,10.11
2026-09-01 16:55:04,77.35,9,495.4,9999.0,0.0,7.99
2026-09-01 16:55:35,75.35,9,526.5,9999.0,0.0,8.84
2026-09-01 16:56:06,75.5,9,557.7,9999.0,0.0,7.7
2026-09-01 16:56:37,71.4,9,588.6,9999.0,0.0,7.7
2026-09-01 16:57:08,71.45,9,619.6,9999.0,0.0,7.89
2026-09-01 16:57:40,77.9,9,651.1,9999.0,0.0,7.94
2026-09-01 16:58:11,74.7,9,682.1,9999.0,0.0,9.69
2026-09-01 16:58:42,75.45,9,713.3,9999.0,0.0,10.09
2026-09-01 16:59:13,79.75,9,744.3,9999.0,0.0,10.96
2026-09-01 16:59:44,70.9,9,775.6,9999.0,0.0,11.31
2026-09-01 17:00:15,75.55,9,806.6,9999.0,0.0,10.11
2026-09-01 17:00:46,73.25,9,837.7,9999.0,0.0,9.34
2026-09-01 17:01:18,71.65,9,869.7,9999.0,0.0,9.32
2026-09-01 17:01:49,79.95,9,900.7,9999.0,0.0,8.98
2026-09-01 17:02:20,77.5,9,931.7,9999.0,0.0,8.61
2026-09-01 17:02:52,70.3,9,963.3,9999.0,0.0,8.17
2026-09-01 17:03:23,80.0,9,994.3,9999.0,0.0,9.0
2026-09-01 17:03:54,71.95,9,1025.2,9999.0,0.0,8.75
2026-09-01 17:04:25,75.45,9,1056.1,9999.0,0.0,9.22
2026-09-01 17:04:56,78.35,9,1087.1,9999.0,0.0,9.27
2026-09-01 17:05:27,71.55,9,1118.2,9999.0,0.0,9.03
2026-09-01 17:05:58,75.35,9,1149.3,9999.0,0.0,8.81
2026-09-01 17:06:29,73.35,9,1180.3,9999.0,0.0,10.03
2026-09-01 17:07:00,71.35,9,1211.3,9999.0,0.0,9.01
2026-09-01 17:07:32,79.5,9,1243.2,9999.0,0.0,9.45
2026-09-01 17:08:03,77.5,9,1274.2,9999.0,0.0,8.82
2026-09-01 17:08:34,75.5,9,1305.3,9999.0,0.0,9.28
